epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,1832.25,0.82363,0.07002,0.04867,0.42285,1.06286,0.97184,0.98475,0.9828,0.58271,0.9804,0.98887,0.98733,0.98582,1.50821,0.05605,0.00144,0.47538,1.64907,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136,0.0039408,0.0013136
54,1866.22,0.83242,0.06804,0.05163,0.42242,1.06501,0.97606,0.98191,0.98111,0.58053,0.98327,0.98887,0.98665,0.98522,1.51398,0.05732,0.00207,0.47914,1.63304,0.0039012,0.0013004,0.0039012,0.0013004,0.0039012,0.0013004,0.0039012,0.0013004
55,1900.49,0.82596,0.06649,0.05225,0.41768,1.06708,0.97518,0.98431,0.98317,0.5814,0.9793,0.98768,0.98667,0.98461,1.5217,0.05833,0.00248,0.48508,1.64715,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
56,1934.73,0.82891,0.06518,0.05027,0.41858,1.06332,0.97393,0.9833,0.98193,0.58665,0.97806,0.98747,0.98629,0.9844,1.51613,0.05947,0.00184,0.48174,1.63962,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274,0.003822,0.001274
57,1968.76,0.81187,0.06565,0.04938,0.41229,1.05805,0.97585,0.98436,0.98358,0.58767,0.98068,0.98922,0.98658,0.98539,1.50315,0.05424,0.00121,0.4809,1.6413,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608,0.0037824,0.0012608
58,2002.89,0.80935,0.06172,0.05141,0.41388,1.05666,0.97759,0.98469,0.9855,0.58719,0.97897,0.98608,0.98698,0.98495,1.50864,0.05495,0.00132,0.48439,1.66021,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
59,2037.16,0.80628,0.06747,0.05237,0.41097,1.0519,0.97587,0.98521,0.98305,0.58518,0.97886,0.98608,0.98515,0.98364,1.49394,0.05867,0.00185,0.47651,1.63882,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344,0.0037032,0.0012344
60,2071.47,0.78685,0.06306,0.04982,0.40475,1.03988,0.97513,0.98243,0.98397,0.58486,0.9779,0.98521,0.98693,0.98577,1.505,0.05544,0.00161,0.48341,1.65574,0.0036636,0.0012212,0.0036636,0.0012212,0.0036636,0.0012212,0.0036636,0.0012212
61,2105.74,0.79295,0.0644,0.05336,0.40562,1.04553,0.97686,0.98399,0.98276,0.58144,0.98268,0.98711,0.98743,0.98586,1.49285,0.05704,0.00158,0.48041,1.6578,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
62,2140.12,0.78304,0.0645,0.04881,0.40382,1.03946,0.97385,0.9848,0.98199,0.58327,0.978,0.98995,0.98597,0.98458,1.50949,0.05519,0.00135,0.48994,1.67401,0.0035844,0.0011948,0.0035844,0.0011948,0.0035844,0.0011948,0.0035844,0.0011948
63,2174.45,0.78346,0.07082,0.05341,0.40567,1.04564,0.97646,0.98131,0.98208,0.57967,0.97715,0.98678,0.98572,0.9835,1.51892,0.05679,0.00181,0.49261,1.67392,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816,0.0035448,0.0011816
